BIOME_NAME,District,Is Monitor,Name,State,Year Spp,calculated,nci
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4072,ANDHRA_PRADESH,2020_Cashew,0.1913526208,66.62564087
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1567,ANDHRA_PRADESH,2020_Cashew,0.1392942859,158.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5089,ANDHRA_PRADESH,2020_Cashew,0.2201502064,279.7986755
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1667,ANDHRA_PRADESH,2020_Cashew,0.1050852952,158.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,4519,ANDHRA_PRADESH,2020_Cashew,0.3544694953,136.2922974
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1524,ANDHRA_PRADESH,2020_Cashew,0.1525681002,346.0005798
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1698,ANDHRA_PRADESH,2020_Cashew,0.1436542614,158.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,1535,ANDHRA_PRADESH,2020_Cashew,0.1340576004,158.2923126
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,2837,ANDHRA_PRADESH,2020_Cashew,0.2279482267,129.465332
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5999,ANDHRA_PRADESH,2020_Cashew,0.1704979317,379.5106201
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5366,ANDHRA_PRADESH,2020_Cashew,0.6108785556,328.1772766
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5503,ANDHRA_PRADESH,2020_Cashew,0.2324755722,342.8439636
Tropical & Subtropical Moist Broadleaf Forests,AlluriSitharama Raju,No,5759,ANDHRA_PRADESH,2020_Cashew,0.301045697,125.798645
